year,month,location,wholesale_price,retail_price
2017,1,Galenbidunuwewa,,
2017,1,Keppetipola,,
2017,1,Puttalam,,
2017,1,Thabuththegama,,
2017,1,Embilipitiya,,
2017,1,Kandy,,
2017,1,Kaluthara,,
2017,1,Matara,,
2017,1,Vavuniya,,
2017,1,Anuradapuraya,,
2017,1,Gampaha,,
2017,1,Thissamaharama,,
2017,1,Rathnapura,,
2017,1,Kegalle,,
2017,1,Monaragala,,
2017,1,Badulla,,
2017,1,Meegoda,,
2017,1,Nikaweratiya,,
2017,1,Nuwara Eliya,,
2017,1,Galle,,
2017,1,Bandarawela,,
2017,1,Dabulla,,
2017,1,Mullathivu,,
2017,1,Polonnaruwa,,
2017,1,Jaffna,,
2017,1,Veyangoda,,
2017,1,Colombo,,
2017,1,Hanguranketha,,
2017,1,Mannar,,
2017,1,Kurunegala,,
2017,1,Matale,,
2017,1,Ampara,,
2017,1,Hambanthota,,
2017,1,Kilinochchi,,
2017,1,Batticaloa,,
2017,1,Dehiattakandiya,,
2017,1,Trinco,,
2017,2,Galenbidunuwewa,,
2017,2,Keppetipola,,
2017,2,Puttalam,,
2017,2,Thabuththegama,,
2017,2,Embilipitiya,,
2017,2,Kandy,,
2017,2,Kaluthara,,
2017,2,Matara,,
2017,2,Vavuniya,,
2017,2,Anuradapuraya,,
2017,2,Gampaha,,
2017,2,Thissamaharama,,
2017,2,Rathnapura,,
2017,2,Kegalle,,
2017,2,Monaragala,,
2017,2,Badulla,,
2017,2,Meegoda,,
2017,2,Nikaweratiya,,
2017,2,Nuwara Eliya,,
2017,2,Galle,,
2017,2,Bandarawela,,
2017,2,Dabulla,,
2017,2,Mullathivu,,
2017,2,Polonnaruwa,,
2017,2,Jaffna,,
2017,2,Veyangoda,,
2017,2,Colombo,,
2017,2,Hanguranketha,,
2017,2,Mannar,,
2017,2,Kurunegala,,
2017,2,Matale,,
2017,2,Ampara,,
2017,2,Hambanthota,,
2017,2,Kilinochchi,,
2017,2,Batticaloa,,
2017,2,Dehiattakandiya,,
2017,2,Trinco,,
2017,3,Galenbidunuwewa,,
2017,3,Keppetipola,,
2017,3,Puttalam,,
2017,3,Thabuththegama,,
2017,3,Embilipitiya,,
2017,3,Kandy,,
2017,3,Kaluthara,,
2017,3,Matara,,
2017,3,Vavuniya,,
2017,3,Anuradapuraya,,
2017,3,Gampaha,,
2017,3,Thissamaharama,,
2017,3,Rathnapura,,
2017,3,Kegalle,,
2017,3,Monaragala,,
2017,3,Badulla,,
2017,3,Meegoda,,
2017,3,Nikaweratiya,,
2017,3,Nuwara Eliya,,
2017,3,Galle,,
2017,3,Bandarawela,,
2017,3,Dabulla,,
2017,3,Mullathivu,,
2017,3,Polonnaruwa,,
2017,3,Jaffna,,
2017,3,Veyangoda,,
2017,3,Colombo,,
2017,3,Hanguranketha,,
2017,3,Mannar,,
2017,3,Kurunegala,,
2017,3,Matale,,
2017,3,Ampara,,
2017,3,Hambanthota,,
2017,3,Kilinochchi,,
2017,3,Batticaloa,,
2017,3,Dehiattakandiya,,
2017,3,Trinco,,
2017,4,Galenbidunuwewa,,
2017,4,Keppetipola,,
2017,4,Puttalam,,
2017,4,Thabuththegama,,
2017,4,Embilipitiya,,
2017,4,Kandy,,
2017,4,Kaluthara,,
2017,4,Matara,,
2017,4,Vavuniya,,
2017,4,Anuradapuraya,,
2017,4,Gampaha,,
2017,4,Thissamaharama,,
2017,4,Rathnapura,,
2017,4,Kegalle,,
2017,4,Monaragala,,
2017,4,Badulla,,
2017,4,Meegoda,,
2017,4,Nikaweratiya,,
2017,4,Nuwara Eliya,,
2017,4,Galle,,
2017,4,Bandarawela,,
2017,4,Dabulla,,
2017,4,Mullathivu,,
2017,4,Polonnaruwa,,
2017,4,Jaffna,,
2017,4,Veyangoda,,
2017,4,Colombo,,
2017,4,Hanguranketha,,
2017,4,Mannar,,
2017,4,Kurunegala,,
2017,4,Matale,,
2017,4,Ampara,,
2017,4,Hambanthota,,
2017,4,Kilinochchi,,
2017,4,Batticaloa,,
2017,4,Dehiattakandiya,,
2017,4,Trinco,,
2017,5,Galenbidunuwewa,,
2017,5,Keppetipola,,
2017,5,Puttalam,,
2017,5,Thabuththegama,,
2017,5,Embilipitiya,,
2017,5,Kandy,,
2017,5,Kaluthara,,
2017,5,Matara,,
2017,5,Vavuniya,,
2017,5,Anuradapuraya,,
2017,5,Gampaha,,
2017,5,Thissamaharama,,
2017,5,Rathnapura,,
2017,5,Kegalle,,
2017,5,Monaragala,,
2017,5,Badulla,,
2017,5,Meegoda,,
2017,5,Nikaweratiya,,
2017,5,Nuwara Eliya,,
2017,5,Galle,,
2017,5,Bandarawela,,
2017,5,Dabulla,,
2017,5,Mullathivu,,
2017,5,Polonnaruwa,,
2017,5,Jaffna,,
2017,5,Veyangoda,,
2017,5,Colombo,,
2017,5,Hanguranketha,,
2017,5,Mannar,,
2017,5,Kurunegala,,
2017,5,Matale,,
2017,5,Ampara,,
2017,5,Hambanthota,,
2017,5,Kilinochchi,,
2017,5,Batticaloa,,
2017,5,Dehiattakandiya,,
2017,5,Trinco,,
2017,6,Galenbidunuwewa,,
2017,6,Keppetipola,,
2017,6,Puttalam,,
2017,6,Thabuththegama,,
2017,6,Embilipitiya,,
2017,6,Kandy,,
2017,6,Kaluthara,,
2017,6,Matara,,
2017,6,Vavuniya,,
2017,6,Anuradapuraya,,
2017,6,Gampaha,,
2017,6,Thissamaharama,,
2017,6,Rathnapura,,
2017,6,Kegalle,,
2017,6,Monaragala,,
2017,6,Badulla,,
2017,6,Meegoda,,
2017,6,Nikaweratiya,,
2017,6,Nuwara Eliya,,
2017,6,Galle,,
2017,6,Bandarawela,,
2017,6,Dabulla,,
2017,6,Mullathivu,,
2017,6,Polonnaruwa,,
2017,6,Jaffna,,
2017,6,Veyangoda,,
2017,6,Colombo,,
2017,6,Hanguranketha,,
2017,6,Mannar,,
2017,6,Kurunegala,,
2017,6,Matale,,
2017,6,Ampara,,
2017,6,Hambanthota,,
2017,6,Kilinochchi,,
2017,6,Batticaloa,,
2017,6,Dehiattakandiya,,
2017,6,Trinco,,
2017,7,Galenbidunuwewa,,
2017,7,Keppetipola,,
2017,7,Puttalam,,
2017,7,Thabuththegama,,
2017,7,Embilipitiya,,
2017,7,Kandy,,
2017,7,Kaluthara,,
2017,7,Matara,,
2017,7,Vavuniya,,
2017,7,Anuradapuraya,,
2017,7,Gampaha,,
2017,7,Thissamaharama,,
2017,7,Rathnapura,,
2017,7,Kegalle,,
2017,7,Monaragala,,
2017,7,Badulla,,
2017,7,Meegoda,,
2017,7,Nikaweratiya,,
2017,7,Nuwara Eliya,,
2017,7,Galle,,
2017,7,Bandarawela,,
2017,7,Dabulla,,
2017,7,Mullathivu,,
2017,7,Polonnaruwa,,
2017,7,Jaffna,,
2017,7,Veyangoda,,
2017,7,Colombo,,
2017,7,Hanguranketha,,
2017,7,Mannar,,
2017,7,Kurunegala,,
2017,7,Matale,,
2017,7,Ampara,,
2017,7,Hambanthota,,
2017,7,Kilinochchi,,
2017,7,Batticaloa,,
2017,7,Dehiattakandiya,,
2017,7,Trinco,,
2017,8,Galenbidunuwewa,,
2017,8,Keppetipola,,
2017,8,Puttalam,,
2017,8,Thabuththegama,,
2017,8,Embilipitiya,,
2017,8,Kandy,,
2017,8,Kaluthara,,
2017,8,Matara,,
2017,8,Vavuniya,,
2017,8,Anuradapuraya,,
2017,8,Gampaha,,
2017,8,Thissamaharama,,
2017,8,Rathnapura,,
2017,8,Kegalle,,
2017,8,Monaragala,,
2017,8,Badulla,,
2017,8,Meegoda,,
2017,8,Nikaweratiya,,
2017,8,Nuwara Eliya,,
2017,8,Galle,,
2017,8,Bandarawela,,
2017,8,Dabulla,,
2017,8,Mullathivu,,
2017,8,Polonnaruwa,,
2017,8,Jaffna,,
2017,8,Veyangoda,,
2017,8,Colombo,,
2017,8,Hanguranketha,,
2017,8,Mannar,,
2017,8,Kurunegala,,
2017,8,Matale,,
2017,8,Ampara,,
2017,8,Hambanthota,,
2017,8,Kilinochchi,,
2017,8,Batticaloa,,
2017,8,Dehiattakandiya,,
2017,8,Trinco,,
2017,9,Galenbidunuwewa,,
2017,9,Keppetipola,,
2017,9,Puttalam,,
2017,9,Thabuththegama,,
2017,9,Embilipitiya,,
2017,9,Kandy,,
2017,9,Kaluthara,,
2017,9,Matara,,
2017,9,Vavuniya,,
2017,9,Anuradapuraya,,
2017,9,Gampaha,,
2017,9,Thissamaharama,,
2017,9,Rathnapura,,
2017,9,Kegalle,,
2017,9,Monaragala,,
2017,9,Badulla,,
2017,9,Meegoda,,
2017,9,Nikaweratiya,,
2017,9,Nuwara Eliya,,
2017,9,Galle,,
2017,9,Bandarawela,,
2017,9,Dabulla,,
2017,9,Mullathivu,,
2017,9,Polonnaruwa,,
2017,9,Jaffna,,
2017,9,Veyangoda,,
2017,9,Colombo,,
2017,9,Hanguranketha,,
2017,9,Mannar,,
2017,9,Kurunegala,,
2017,9,Matale,,
2017,9,Ampara,,
2017,9,Hambanthota,,
2017,9,Kilinochchi,,
2017,9,Batticaloa,,
2017,9,Dehiattakandiya,,
2017,9,Trinco,,
2017,10,Galenbidunuwewa,,
2017,10,Keppetipola,,
2017,10,Puttalam,,
2017,10,Thabuththegama,,
2017,10,Embilipitiya,,
2017,10,Kandy,,
2017,10,Kaluthara,,
2017,10,Matara,,
2017,10,Vavuniya,,
2017,10,Anuradapuraya,,
2017,10,Gampaha,,
2017,10,Thissamaharama,,
2017,10,Rathnapura,,
2017,10,Kegalle,,
2017,10,Monaragala,,
2017,10,Badulla,,
2017,10,Meegoda,,
2017,10,Nikaweratiya,,
2017,10,Nuwara Eliya,,
2017,10,Galle,,
2017,10,Bandarawela,,
2017,10,Dabulla,,
2017,10,Mullathivu,,
2017,10,Polonnaruwa,,
2017,10,Jaffna,,
2017,10,Veyangoda,,
2017,10,Colombo,,
2017,10,Hanguranketha,,
2017,10,Mannar,,
2017,10,Kurunegala,,
2017,10,Matale,,
2017,10,Ampara,,
2017,10,Hambanthota,,
2017,10,Kilinochchi,,
2017,10,Batticaloa,,
2017,10,Dehiattakandiya,,
2017,10,Trinco,,
2017,11,Galenbidunuwewa,,
2017,11,Keppetipola,,
2017,11,Puttalam,,
2017,11,Thabuththegama,,
2017,11,Embilipitiya,,
2017,11,Kandy,,
2017,11,Kaluthara,,
2017,11,Matara,,
2017,11,Vavuniya,,
2017,11,Anuradapuraya,,
2017,11,Gampaha,,
2017,11,Thissamaharama,,
2017,11,Rathnapura,,
2017,11,Kegalle,,
2017,11,Monaragala,,
2017,11,Badulla,,
2017,11,Meegoda,,
2017,11,Nikaweratiya,,
2017,11,Nuwara Eliya,,
2017,11,Galle,,
2017,11,Bandarawela,,
2017,11,Dabulla,,
2017,11,Mullathivu,,
2017,11,Polonnaruwa,,
2017,11,Jaffna,,
2017,11,Veyangoda,,
2017,11,Colombo,,
2017,11,Hanguranketha,,
2017,11,Mannar,,
2017,11,Kurunegala,,
2017,11,Matale,,
2017,11,Ampara,,
2017,11,Hambanthota,,
2017,11,Kilinochchi,,
2017,11,Batticaloa,,
2017,11,Dehiattakandiya,,
2017,11,Trinco,,
2017,12,Galenbidunuwewa,,
2017,12,Keppetipola,,
2017,12,Puttalam,,
2017,12,Thabuththegama,,
2017,12,Embilipitiya,,
2017,12,Kandy,,
2017,12,Kaluthara,,
2017,12,Matara,,
2017,12,Vavuniya,,
2017,12,Anuradapuraya,,
2017,12,Gampaha,,
2017,12,Thissamaharama,,
2017,12,Rathnapura,,
2017,12,Kegalle,,
2017,12,Monaragala,,
2017,12,Badulla,,
2017,12,Meegoda,,
2017,12,Nikaweratiya,,
2017,12,Nuwara Eliya,,
2017,12,Galle,,
2017,12,Bandarawela,,
2017,12,Dabulla,,
2017,12,Mullathivu,,
2017,12,Polonnaruwa,,
2017,12,Jaffna,,
2017,12,Veyangoda,,
2017,12,Colombo,,
2017,12,Hanguranketha,,
2017,12,Mannar,,
2017,12,Kurunegala,,
2017,12,Matale,,
2017,12,Ampara,,
2017,12,Hambanthota,,
2017,12,Kilinochchi,,
2017,12,Batticaloa,,
2017,12,Dehiattakandiya,,
2017,12,Trinco,,
2018,1,Galenbidunuwewa,,
2018,1,Keppetipola,,
2018,1,Puttalam,,
2018,1,Thabuththegama,,
2018,1,Embilipitiya,,
2018,1,Kandy,,
2018,1,Kaluthara,,
2018,1,Matara,,
2018,1,Vavuniya,,
2018,1,Anuradapuraya,,
2018,1,Gampaha,,
2018,1,Thissamaharama,,
2018,1,Rathnapura,,
2018,1,Kegalle,,
2018,1,Monaragala,,
2018,1,Badulla,,
2018,1,Meegoda,,
2018,1,Nikaweratiya,,
2018,1,Nuwara Eliya,,
2018,1,Galle,,
2018,1,Bandarawela,,
2018,1,Dabulla,,
2018,1,Mullathivu,,
2018,1,Polonnaruwa,,
2018,1,Jaffna,,
2018,1,Veyangoda,,
2018,1,Colombo,,
2018,1,Hanguranketha,,
2018,1,Mannar,,
2018,1,Kurunegala,,
2018,1,Matale,,
2018,1,Ampara,,
2018,1,Hambanthota,,
2018,1,Kilinochchi,,
2018,1,Batticaloa,,
2018,1,Dehiattakandiya,,
2018,1,Trinco,,
2018,2,Galenbidunuwewa,,
2018,2,Keppetipola,,
2018,2,Puttalam,,
2018,2,Thabuththegama,,
2018,2,Embilipitiya,,
2018,2,Kandy,,
2018,2,Kaluthara,,
2018,2,Matara,,
2018,2,Vavuniya,,
2018,2,Anuradapuraya,,
2018,2,Gampaha,,
2018,2,Thissamaharama,,
2018,2,Rathnapura,,
2018,2,Kegalle,,
2018,2,Monaragala,,
2018,2,Badulla,,
2018,2,Meegoda,,
2018,2,Nikaweratiya,,
2018,2,Nuwara Eliya,,
2018,2,Galle,,
2018,2,Bandarawela,,
2018,2,Dabulla,,
2018,2,Mullathivu,,
2018,2,Polonnaruwa,,
2018,2,Jaffna,,
2018,2,Veyangoda,,
2018,2,Colombo,,
2018,2,Hanguranketha,,
2018,2,Mannar,,
2018,2,Kurunegala,,
2018,2,Matale,,
2018,2,Ampara,,
2018,2,Hambanthota,,
2018,2,Kilinochchi,,
2018,2,Batticaloa,,
2018,2,Dehiattakandiya,,
2018,2,Trinco,,
2018,3,Galenbidunuwewa,,
2018,3,Keppetipola,,
2018,3,Puttalam,,
2018,3,Thabuththegama,,
2018,3,Embilipitiya,,
2018,3,Kandy,,
2018,3,Kaluthara,,
2018,3,Matara,,
2018,3,Vavuniya,,
2018,3,Anuradapuraya,,
2018,3,Gampaha,,
2018,3,Thissamaharama,,
2018,3,Rathnapura,,
2018,3,Kegalle,,
2018,3,Monaragala,,
2018,3,Badulla,,
2018,3,Meegoda,,
2018,3,Nikaweratiya,,
2018,3,Nuwara Eliya,,
2018,3,Galle,,
2018,3,Bandarawela,,
2018,3,Dabulla,,
2018,3,Mullathivu,,
2018,3,Polonnaruwa,,
2018,3,Jaffna,,
2018,3,Veyangoda,,
2018,3,Colombo,,
2018,3,Hanguranketha,,
2018,3,Mannar,,
2018,3,Kurunegala,,
2018,3,Matale,,
2018,3,Ampara,,
2018,3,Hambanthota,,
2018,3,Kilinochchi,,
2018,3,Batticaloa,,
2018,3,Dehiattakandiya,,
2018,3,Trinco,,
2018,4,Galenbidunuwewa,,
2018,4,Keppetipola,,
2018,4,Puttalam,,
2018,4,Thabuththegama,,
2018,4,Embilipitiya,,
2018,4,Kandy,,
2018,4,Kaluthara,,
2018,4,Matara,,
2018,4,Vavuniya,,
2018,4,Anuradapuraya,,
2018,4,Gampaha,,
2018,4,Thissamaharama,,
2018,4,Rathnapura,,
2018,4,Kegalle,,
2018,4,Monaragala,,
2018,4,Badulla,,
2018,4,Meegoda,,
2018,4,Nikaweratiya,,
2018,4,Nuwara Eliya,,
2018,4,Galle,,
2018,4,Bandarawela,,
2018,4,Dabulla,,
2018,4,Mullathivu,,
2018,4,Polonnaruwa,,
2018,4,Jaffna,,
2018,4,Veyangoda,,
2018,4,Colombo,,
2018,4,Hanguranketha,,
2018,4,Mannar,,
2018,4,Kurunegala,,
2018,4,Matale,,
2018,4,Ampara,,
2018,4,Hambanthota,,
2018,4,Kilinochchi,,
2018,4,Batticaloa,,
2018,4,Dehiattakandiya,,
2018,4,Trinco,,
2018,5,Galenbidunuwewa,,
2018,5,Keppetipola,,
2018,5,Puttalam,,
2018,5,Thabuththegama,,
2018,5,Embilipitiya,,
2018,5,Kandy,,
2018,5,Kaluthara,,
2018,5,Matara,,
2018,5,Vavuniya,,
2018,5,Anuradapuraya,,
2018,5,Gampaha,,
2018,5,Thissamaharama,,
2018,5,Rathnapura,,
2018,5,Kegalle,,
2018,5,Monaragala,,
2018,5,Badulla,,
2018,5,Meegoda,,
2018,5,Nikaweratiya,,
2018,5,Nuwara Eliya,,
2018,5,Galle,,
2018,5,Bandarawela,,
2018,5,Dabulla,,
2018,5,Mullathivu,,
2018,5,Polonnaruwa,,
2018,5,Jaffna,,
2018,5,Veyangoda,,
2018,5,Colombo,,
2018,5,Hanguranketha,,
2018,5,Mannar,,
2018,5,Kurunegala,,
2018,5,Matale,,
2018,5,Ampara,,
2018,5,Hambanthota,,
2018,5,Kilinochchi,,
2018,5,Batticaloa,,
2018,5,Dehiattakandiya,,
2018,5,Trinco,,
2018,6,Galenbidunuwewa,,
2018,6,Keppetipola,,
2018,6,Puttalam,,
2018,6,Thabuththegama,,
2018,6,Embilipitiya,,
2018,6,Kandy,,
2018,6,Kaluthara,,
2018,6,Matara,,
2018,6,Vavuniya,,
2018,6,Anuradapuraya,,
2018,6,Gampaha,,
2018,6,Thissamaharama,,
2018,6,Rathnapura,,
2018,6,Kegalle,,
2018,6,Monaragala,,
2018,6,Badulla,,
2018,6,Meegoda,,
2018,6,Nikaweratiya,,
2018,6,Nuwara Eliya,,
2018,6,Galle,,
2018,6,Bandarawela,,
2018,6,Dabulla,,
2018,6,Mullathivu,,
2018,6,Polonnaruwa,,
2018,6,Jaffna,,
2018,6,Veyangoda,,
2018,6,Colombo,,
2018,6,Hanguranketha,,
2018,6,Mannar,,
2018,6,Kurunegala,,
2018,6,Matale,,
2018,6,Ampara,,
2018,6,Hambanthota,,
2018,6,Kilinochchi,,
2018,6,Batticaloa,,
2018,6,Dehiattakandiya,,
2018,6,Trinco,,
2018,7,Galenbidunuwewa,,
2018,7,Keppetipola,,
2018,7,Puttalam,,
2018,7,Thabuththegama,,
2018,7,Embilipitiya,,
2018,7,Kandy,,
2018,7,Kaluthara,,
2018,7,Matara,,
2018,7,Vavuniya,,
2018,7,Anuradapuraya,,
2018,7,Gampaha,,
2018,7,Thissamaharama,,
2018,7,Rathnapura,,
2018,7,Kegalle,,
2018,7,Monaragala,,
2018,7,Badulla,,
2018,7,Meegoda,,
2018,7,Nikaweratiya,,
2018,7,Nuwara Eliya,,
2018,7,Galle,,
2018,7,Bandarawela,,
2018,7,Dabulla,,
2018,7,Mullathivu,,
2018,7,Polonnaruwa,,
2018,7,Jaffna,,
2018,7,Veyangoda,,
2018,7,Colombo,,
2018,7,Hanguranketha,,
2018,7,Mannar,,
2018,7,Kurunegala,,
2018,7,Matale,,
2018,7,Ampara,,
2018,7,Hambanthota,,
2018,7,Kilinochchi,,
2018,7,Batticaloa,,
2018,7,Dehiattakandiya,,
2018,7,Trinco,,
2018,8,Galenbidunuwewa,,
2018,8,Keppetipola,,
2018,8,Puttalam,,
2018,8,Thabuththegama,,
2018,8,Embilipitiya,,
2018,8,Kandy,,
2018,8,Kaluthara,,
2018,8,Matara,,
2018,8,Vavuniya,,
2018,8,Anuradapuraya,,
2018,8,Gampaha,,
2018,8,Thissamaharama,,
2018,8,Rathnapura,,
2018,8,Kegalle,,
2018,8,Monaragala,,
2018,8,Badulla,,
2018,8,Meegoda,,
2018,8,Nikaweratiya,,
2018,8,Nuwara Eliya,,
2018,8,Galle,,
2018,8,Bandarawela,,
2018,8,Dabulla,,
2018,8,Mullathivu,,
2018,8,Polonnaruwa,,
2018,8,Jaffna,,
2018,8,Veyangoda,,
2018,8,Colombo,,
2018,8,Hanguranketha,,
2018,8,Mannar,,
2018,8,Kurunegala,,
2018,8,Matale,,
2018,8,Ampara,,
2018,8,Hambanthota,,
2018,8,Kilinochchi,,
2018,8,Batticaloa,,
2018,8,Dehiattakandiya,,
2018,8,Trinco,,
2018,9,Galenbidunuwewa,,
2018,9,Keppetipola,,
2018,9,Puttalam,,
2018,9,Thabuththegama,,
2018,9,Embilipitiya,,
2018,9,Kandy,,
2018,9,Kaluthara,,
2018,9,Matara,,
2018,9,Vavuniya,,
2018,9,Anuradapuraya,,
2018,9,Gampaha,,
2018,9,Thissamaharama,,
2018,9,Rathnapura,,
2018,9,Kegalle,,
2018,9,Monaragala,,
2018,9,Badulla,,
2018,9,Meegoda,,
2018,9,Nikaweratiya,,
2018,9,Nuwara Eliya,,
2018,9,Galle,,
2018,9,Bandarawela,,
2018,9,Dabulla,,
2018,9,Mullathivu,,
2018,9,Polonnaruwa,,
2018,9,Jaffna,,
2018,9,Veyangoda,,
2018,9,Colombo,,
2018,9,Hanguranketha,,
2018,9,Mannar,,
2018,9,Kurunegala,,
2018,9,Matale,,
2018,9,Ampara,,
2018,9,Hambanthota,,
2018,9,Kilinochchi,,
2018,9,Batticaloa,,
2018,9,Dehiattakandiya,,
2018,9,Trinco,,
2018,10,Galenbidunuwewa,,
2018,10,Keppetipola,,
2018,10,Puttalam,,
2018,10,Thabuththegama,,
2018,10,Embilipitiya,,
2018,10,Kandy,,
2018,10,Kaluthara,,
2018,10,Matara,,
2018,10,Vavuniya,,
2018,10,Anuradapuraya,,
2018,10,Gampaha,,
2018,10,Thissamaharama,,
2018,10,Rathnapura,,
2018,10,Kegalle,,
2018,10,Monaragala,,
2018,10,Badulla,,
2018,10,Meegoda,,
2018,10,Nikaweratiya,,
2018,10,Nuwara Eliya,,
2018,10,Galle,,
2018,10,Bandarawela,,
2018,10,Dabulla,,
2018,10,Mullathivu,,
2018,10,Polonnaruwa,,
2018,10,Jaffna,,
2018,10,Veyangoda,,
2018,10,Colombo,,
2018,10,Hanguranketha,,
2018,10,Mannar,,
2018,10,Kurunegala,,
2018,10,Matale,,
2018,10,Ampara,,
2018,10,Hambanthota,,
2018,10,Kilinochchi,,
2018,10,Batticaloa,,
2018,10,Dehiattakandiya,,
2018,10,Trinco,,
2018,11,Galenbidunuwewa,,
2018,11,Keppetipola,,
2018,11,Puttalam,,
2018,11,Thabuththegama,,
2018,11,Embilipitiya,,
2018,11,Kandy,,
2018,11,Kaluthara,,
2018,11,Matara,,
2018,11,Vavuniya,,
2018,11,Anuradapuraya,,
2018,11,Gampaha,,
2018,11,Thissamaharama,,
2018,11,Rathnapura,,
2018,11,Kegalle,,
2018,11,Monaragala,,
2018,11,Badulla,,
2018,11,Meegoda,,
2018,11,Nikaweratiya,,
2018,11,Nuwara Eliya,,
2018,11,Galle,,
2018,11,Bandarawela,,
2018,11,Dabulla,,
2018,11,Mullathivu,,
2018,11,Polonnaruwa,,
2018,11,Jaffna,,
2018,11,Veyangoda,,
2018,11,Colombo,,
2018,11,Hanguranketha,,
2018,11,Mannar,,
2018,11,Kurunegala,,
2018,11,Matale,,
2018,11,Ampara,,
2018,11,Hambanthota,,
2018,11,Kilinochchi,,
2018,11,Batticaloa,,
2018,11,Dehiattakandiya,,
2018,11,Trinco,,
2018,12,Galenbidunuwewa,,
2018,12,Keppetipola,,
2018,12,Puttalam,,
2018,12,Thabuththegama,,
2018,12,Embilipitiya,,
2018,12,Kandy,,
2018,12,Kaluthara,,
2018,12,Matara,,
2018,12,Vavuniya,,
2018,12,Anuradapuraya,,
2018,12,Gampaha,,
2018,12,Thissamaharama,,
2018,12,Rathnapura,,
2018,12,Kegalle,,
2018,12,Monaragala,,
2018,12,Badulla,,
2018,12,Meegoda,,
2018,12,Nikaweratiya,,
2018,12,Nuwara Eliya,,
2018,12,Galle,,
2018,12,Bandarawela,,
2018,12,Dabulla,,
2018,12,Mullathivu,,
2018,12,Polonnaruwa,,
2018,12,Jaffna,,
2018,12,Veyangoda,,
2018,12,Colombo,,
2018,12,Hanguranketha,,
2018,12,Mannar,,
2018,12,Kurunegala,,
2018,12,Matale,,
2018,12,Ampara,,
2018,12,Hambanthota,,
2018,12,Kilinochchi,,
2018,12,Batticaloa,,
